BldFlDmp(1)	3.882							
BldFlDmp(2)	3.882							
BldEdDmp(1)	5.900							
DistBldProps	BlFract	AeroCent	StrcTwst	BMassDen	FlpStff	EdgStff	GJStff	EAStff
	0.000000	0.2500000	11.1000000	2514.2728794	2.59158E+10	2.59158E+10	8.96651E+09	2.89444E+10
	0.021053	0.2500000	11.1000000	378.4647644	4.99575E+09	4.99575E+09	1.74570E+09	5.63523E+09
	0.052632	0.2294280	11.1000000	382.9647760	4.40583E+09	4.81415E+09	1.46531E+09	5.58565E+09
	0.105263	0.2011856	11.1000000	390.4647954	3.42262E+09	4.51150E+09	9.97974E+08	5.50303E+09
	0.157895	0.1785491	11.1000000	397.9648147	2.43941E+09	4.20884E+09	5.30644E+08	5.42040E+09
	0.210526	0.1600000	11.1000000	405.4648341	1.45621E+09	3.90618E+09	6.33133E+07	5.33778E+09
	0.263158	0.1648255	9.5000000	388.2953023	1.23744E+09	3.32255E+09	5.57470E+07	5.11544E+09
	0.315789	0.1701476	7.9000000	371.1257704	1.01867E+09	2.73891E+09	4.81807E+07	4.89309E+09
	0.368421	0.1760471	6.3000000	353.9562386	7.99899E+08	2.15528E+09	4.06144E+07	4.67075E+09
	0.421053	0.1826234	4.7000000	336.7867067	5.81129E+08	1.57164E+09	3.30481E+07	4.44841E+09
	0.473684	0.1900000	3.1000000	319.6171749	3.62359E+08	9.88007E+08	2.54818E+07	4.22606E+09
	0.526316	0.1944450	2.6000000	283.5655632	3.01063E+08	8.38972E+08	2.14071E+07	3.73737E+09
	0.578947	0.1995059	2.1000000	247.5139515	2.39766E+08	6.89937E+08	1.73325E+07	3.24867E+09
	0.631579	0.2053202	1.6000000	211.4623398	1.78470E+08	5.40903E+08	1.32578E+07	2.75997E+09
	0.684211	0.2120698	1.1000000	175.4107281	1.17173E+08	3.91868E+08	9.18312E+06	2.27127E+09
	0.736842	0.2200000	0.6000000	139.3591164	5.58767E+07	2.42833E+08	5.10846E+06	1.78257E+09
	0.789474	0.2239497	0.4800000	114.8236118	4.48398E+07	1.99004E+08	4.19552E+06	1.46123E+09
	0.842105	0.2286372	0.3600000	90.2881072	3.38028E+07	1.55176E+08	3.28258E+06	1.13989E+09
	0.894737	0.2342908	0.2400000	65.7526025	2.27659E+07	1.11347E+08	2.36964E+06	8.18543E+08
	0.947368	0.2412431	0.1200000	41.2170979	1.17289E+07	6.75184E+07	1.45670E+06	4.97199E+08
	1.000000	0.2500000	0.0000000	16.6815933	6.91951E+05	2.36897E+07	5.43767E+05	1.75855E+08
