
"These predictions were generated by FAST (v6.10a-jmj, 21-Feb-2007) on 01-Apr-2007 at 16:55:28."
"The aerodynamic calculations were made by AeroDyn (12.60i-pjm, 16-Nov-2006)."

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kN·m)
30.00	5.757E+00	4.984E+02	7.660E+00	1.902E+00	3.034E-01	1.796E+00	-3.988E-01	2.123E+00	-4.002E-01	1.077E+02	1.680E+02	2.428E+02	6.655E+02
30.05	5.664E+00	4.999E+02	7.662E+00	1.887E+00	3.067E-01	1.765E+00	-4.138E-01	2.125E+00	-3.862E-01	1.065E+02	1.682E+02	2.362E+02	6.668E+02
30.10	5.711E+00	5.013E+02	7.664E+00	1.858E+00	3.102E-01	1.752E+00	-4.286E-01	2.130E+00	-3.731E-01	1.045E+02	1.678E+02	2.294E+02	6.731E+02
30.15	5.439E+00	5.027E+02	7.665E+00	1.818E+00	3.136E-01	1.757E+00	-4.428E-01	2.136E+00	-3.607E-01	1.018E+02	1.674E+02	2.229E+02	6.804E+02
30.20	5.432E+00	5.042E+02	7.666E+00	1.770E+00	3.163E-01	1.774E+00	-4.562E-01	2.143E+00	-3.486E-01	9.960E+01	1.665E+02	2.164E+02	6.857E+02
30.25	5.512E+00	5.056E+02	7.668E+00	1.717E+00	3.178E-01	1.802E+00	-4.689E-01	2.152E+00	-3.365E-01	9.760E+01	1.655E+02	2.102E+02	6.887E+02
30.30	5.553E+00	5.070E+02	7.670E+00	1.666E+00	3.181E-01	1.837E+00	-4.809E-01	2.164E+00	-3.239E-01	9.404E+01	1.642E+02	2.035E+02	6.914E+02
30.35	5.783E+00	5.085E+02	7.671E+00	1.620E+00	3.166E-01	1.879E+00	-4.931E-01	2.180E+00	-3.107E-01	9.173E+01	1.621E+02	1.971E+02	6.906E+02
30.40	5.879E+00	5.099E+02	7.672E+00	1.582E+00	3.132E-01	1.928E+00	-5.059E-01	2.201E+00	-2.966E-01	8.993E+01	1.598E+02	1.912E+02	6.877E+02
30.45	5.835E+00	5.113E+02	7.673E+00	1.555E+00	3.077E-01	1.985E+00	-5.197E-01	2.223E+00	-2.810E-01	8.842E+01	1.573E+02	1.851E+02	6.843E+02
30.50	5.748E+00	5.126E+02	7.674E+00	1.543E+00	2.999E-01	2.049E+00	-5.345E-01	2.243E+00	-2.635E-01	8.860E+01	1.543E+02	1.790E+02	6.821E+02
30.55	5.675E+00	5.138E+02	7.677E+00	1.548E+00	2.900E-01	2.114E+00	-5.499E-01	2.256E+00	-2.440E-01	9.123E+01	1.508E+02	1.733E+02	6.859E+02
30.60	5.616E+00	5.150E+02	7.678E+00	1.569E+00	2.784E-01	2.173E+00	-5.651E-01	2.264E+00	-2.229E-01	9.045E+01	1.480E+02	1.676E+02	6.954E+02
30.65	5.605E+00	5.162E+02	7.679E+00	1.606E+00	2.650E-01	2.216E+00	-5.802E-01	2.266E+00	-2.014E-01	9.257E+01	1.439E+02	1.613E+02	7.024E+02
30.70	5.766E+00	5.175E+02	7.681E+00	1.653E+00	2.505E-01	2.238E+00	-5.943E-01	2.263E+00	-1.798E-01	9.283E+01	1.407E+02	1.558E+02	7.055E+02
30.75	5.937E+00	5.188E+02	7.684E+00	1.706E+00	2.361E-01	2.240E+00	-6.069E-01	2.258E+00	-1.585E-01	9.314E+01	1.374E+02	1.503E+02	7.090E+02
30.80	5.776E+00	5.202E+02	7.686E+00	1.757E+00	2.226E-01	2.225E+00	-6.174E-01	2.253E+00	-1.376E-01	9.388E+01	1.328E+02	1.442E+02	7.141E+02
30.85	5.750E+00	5.217E+02	7.688E+00	1.805E+00	2.097E-01	2.200E+00	-6.259E-01	2.250E+00	-1.172E-01	9.497E+01	1.289E+02	1.393E+02	7.169E+02
30.90	5.712E+00	5.231E+02	7.690E+00	1.847E+00	1.969E-01	2.168E+00	-6.327E-01	2.249E+00	-9.833E-02	9.564E+01	1.250E+02	1.342E+02	7.153E+02
30.95	5.519E+00	5.246E+02	7.692E+00	1.887E+00	1.836E-01	2.131E+00	-6.378E-01	2.248E+00	-8.072E-02	9.574E+01	1.203E+02	1.285E+02	7.110E+02
31.00	5.526E+00	5.261E+02	7.694E+00	1.922E+00	1.695E-01	2.090E+00	-6.409E-01	2.239E+00	-6.325E-02	9.616E+01	1.162E+02	1.240E+02	7.077E+02
31.05	5.544E+00	5.275E+02	7.696E+00	1.954E+00	1.549E-01	2.045E+00	-6.419E-01	2.217E+00	-4.510E-02	9.598E+01	1.111E+02	1.195E+02	7.086E+02
31.10	5.458E+00	5.289E+02	7.698E+00	1.980E+00	1.394E-01	2.002E+00	-6.413E-01	2.182E+00	-2.617E-02	9.507E+01	1.057E+02	1.149E+02	7.109E+02
31.15	5.561E+00	5.302E+02	7.698E+00	2.000E+00	1.227E-01	1.963E+00	-6.397E-01	2.138E+00	-6.562E-03	9.546E+01	9.981E+01	1.108E+02	7.108E+02
31.20	5.643E+00	5.315E+02	7.700E+00	2.017E+00	1.044E-01	1.934E+00	-6.374E-01	2.091E+00	1.327E-02	9.471E+01	9.460E+01	1.073E+02	7.096E+02
31.25	5.699E+00	5.328E+02	7.702E+00	2.033E+00	8.455E-02	1.914E+00	-6.346E-01	2.047E+00	3.286E-02	9.380E+01	8.818E+01	1.033E+02	7.118E+02
31.30	5.627E+00	5.340E+02	7.703E+00	2.049E+00	6.331E-02	1.902E+00	-6.316E-01	2.010E+00	5.220E-02	9.186E+01	8.179E+01	9.962E+01	7.181E+02
31.35	5.742E+00	5.353E+02	7.705E+00	2.065E+00	4.117E-02	1.899E+00	-6.283E-01	1.981E+00	7.133E-02	9.158E+01	7.483E+01	9.648E+01	7.253E+02
31.40	5.647E+00	5.366E+02	7.707E+00	2.076E+00	1.903E-02	1.904E+00	-6.252E-01	1.958E+00	9.034E-02	8.999E+01	6.810E+01	9.359E+01	7.303E+02
31.45	5.671E+00	5.380E+02	7.708E+00	2.080E+00	-2.456E-03	1.917E+00	-6.227E-01	1.934E+00	1.093E-01	8.953E+01	6.092E+01	9.079E+01	7.299E+02
31.50	5.728E+00	5.394E+02	7.710E+00	2.076E+00	-2.289E-02	1.943E+00	-6.213E-01	1.907E+00	1.285E-01	9.136E+01	5.383E+01	8.844E+01	7.266E+02
31.55	5.760E+00	5.407E+02	7.712E+00	2.068E+00	-4.204E-02	1.987E+00	-6.213E-01	1.876E+00	1.480E-01	9.379E+01	4.679E+01	8.626E+01	7.268E+02
31.60	5.757E+00	5.420E+02	7.715E+00	2.060E+00	-6.031E-02	2.049E+00	-6.230E-01	1.844E+00	1.672E-01	9.508E+01	3.976E+01	8.409E+01	7.319E+02
31.65	5.509E+00	5.434E+02	7.717E+00	2.058E+00	-7.852E-02	2.127E+00	-6.263E-01	1.813E+00	1.854E-01	9.619E+01	3.290E+01	8.224E+01	7.379E+02
31.70	5.420E+00	5.448E+02	7.719E+00	2.066E+00	-9.716E-02	2.210E+00	-6.303E-01	1.790E+00	2.020E-01	9.728E+01	2.621E+01	8.078E+01	7.420E+02
31.75	5.328E+00	5.463E+02	7.722E+00	2.083E+00	-1.159E-01	2.285E+00	-6.332E-01	1.776E+00	2.169E-01	9.710E+01	1.973E+01	7.976E+01	7.470E+02
31.80	5.050E+00	5.479E+02	7.725E+00	2.106E+00	-1.343E-01	2.341E+00	-6.334E-01	1.773E+00	2.301E-01	9.625E+01	1.254E+01	7.904E+01	7.529E+02
31.85	5.071E+00	5.495E+02	7.728E+00	2.131E+00	-1.526E-01	2.373E+00	-6.302E-01	1.778E+00	2.413E-01	9.556E+01	5.640E+00	7.866E+01	7.555E+02
31.90	4.998E+00	5.512E+02	7.730E+00	2.153E+00	-1.711E-01	2.383E+00	-6.235E-01	1.788E+00	2.503E-01	9.566E+01	-1.212E+00	7.844E+01	7.549E+02
31.95	4.938E+00	5.530E+02	7.733E+00	2.172E+00	-1.900E-01	2.375E+00	-6.135E-01	1.801E+00	2.572E-01	9.663E+01	-8.326E+00	7.842E+01	7.542E+02
32.00	5.227E+00	5.548E+02	7.737E+00	2.187E+00	-2.096E-01	2.358E+00	-6.007E-01	1.818E+00	2.621E-01	9.925E+01	-1.575E+01	7.871E+01	7.565E+02
32.05	5.142E+00	5.566E+02	7.741E+00	2.198E+00	-2.297E-01	2.340E+00	-5.856E-01	1.840E+00	2.653E-01	1.017E+02	-2.302E+01	7.946E+01	7.635E+02
32.10	5.026E+00	5.585E+02	7.745E+00	2.204E+00	-2.499E-01	2.323E+00	-5.692E-01	1.868E+00	2.671E-01	1.039E+02	-3.036E+01	8.076E+01	7.719E+02
32.15	5.061E+00	5.605E+02	7.748E+00	2.204E+00	-2.702E-01	2.307E+00	-5.521E-01	1.900E+00	2.673E-01	1.062E+02	-3.784E+01	8.246E+01	7.770E+02
32.20	5.117E+00	5.627E+02	7.752E+00	2.198E+00	-2.901E-01	2.290E+00	-5.350E-01	1.935E+00	2.665E-01	1.081E+02	-4.475E+01	8.433E+01	7.795E+02
32.25	5.226E+00	5.649E+02	7.757E+00	2.185E+00	-3.086E-01	2.272E+00	-5.180E-01	1.971E+00	2.657E-01	1.089E+02	-5.168E+01	8.627E+01	7.854E+02
32.30	5.264E+00	5.672E+02	7.762E+00	2.167E+00	-3.256E-01	2.250E+00	-5.012E-01	2.005E+00	2.655E-01	1.091E+02	-5.879E+01	8.844E+01	7.939E+02
32.35	5.254E+00	5.698E+02	7.767E+00	2.146E+00	-3.413E-01	2.222E+00	-4.845E-01	2.034E+00	2.664E-01	1.087E+02	-6.592E+01	9.080E+01	8.006E+02
