
"These predictions were generated by FAST (v6.10a-jmj, 21-Feb-2007) on 01-Apr-2007 at 16:56:40."
"The aerodynamic calculations were made by AeroDyn (12.60i-pjm, 16-Nov-2006)."

 NREL 5.0 MW Baseline Wind Turbine for Use in Offshore Analysis.

    Time	WindVxi	GenPwr	RotSpeed	OoPDefl1	IPDefl1	OoPDefl2	IPDefl2	OoPDefl3	IPDefl3	RootFxc1	RootFyc1	RootFzc1	RotTorq
   (sec)	(m/sec)	(kW)	(rpm)	(m)	(m)	(m)	(m)	(m)	(m)	(kN)	(kN)	(kN)	(kN·m)
31.45	6.818E+00	1.617E+03	8.888E+00	2.584E+00	1.412E-01	3.585E+00	-7.593E-01	2.234E+00	-2.202E-01	1.404E+02	1.358E+02	2.549E+02	1.769E+03
31.50	6.714E+00	1.613E+03	8.882E+00	2.693E+00	1.190E-01	3.606E+00	-7.691E-01	2.176E+00	-1.922E-01	1.423E+02	1.318E+02	2.469E+02	1.772E+03
31.55	6.619E+00	1.609E+03	8.876E+00	2.810E+00	9.576E-02	3.602E+00	-7.769E-01	2.124E+00	-1.670E-01	1.453E+02	1.273E+02	2.386E+02	1.773E+03
31.60	6.656E+00	1.605E+03	8.872E+00	2.928E+00	7.242E-02	3.574E+00	-7.824E-01	2.082E+00	-1.439E-01	1.480E+02	1.223E+02	2.307E+02	1.780E+03
31.65	6.711E+00	1.601E+03	8.868E+00	3.041E+00	4.992E-02	3.530E+00	-7.857E-01	2.054E+00	-1.229E-01	1.484E+02	1.173E+02	2.232E+02	1.791E+03
31.70	6.649E+00	1.597E+03	8.864E+00	3.142E+00	2.813E-02	3.481E+00	-7.880E-01	2.046E+00	-1.045E-01	1.494E+02	1.118E+02	2.159E+02	1.798E+03
31.75	6.674E+00	1.594E+03	8.860E+00	3.226E+00	7.208E-03	3.434E+00	-7.900E-01	2.053E+00	-8.789E-02	1.532E+02	1.064E+02	2.094E+02	1.798E+03
31.80	6.707E+00	1.590E+03	8.858E+00	3.288E+00	-1.219E-02	3.392E+00	-7.913E-01	2.072E+00	-7.192E-02	1.549E+02	1.013E+02	2.026E+02	1.796E+03
31.85	6.629E+00	1.587E+03	8.857E+00	3.331E+00	-2.996E-02	3.348E+00	-7.905E-01	2.096E+00	-5.522E-02	1.563E+02	9.564E+01	1.962E+02	1.795E+03
31.90	6.620E+00	1.584E+03	8.854E+00	3.357E+00	-4.728E-02	3.293E+00	-7.874E-01	2.124E+00	-3.774E-02	1.616E+02	8.885E+01	1.907E+02	1.792E+03
31.95	6.603E+00	1.581E+03	8.851E+00	3.373E+00	-6.557E-02	3.220E+00	-7.816E-01	2.155E+00	-2.026E-02	1.625E+02	8.281E+01	1.858E+02	1.784E+03
32.00	6.644E+00	1.578E+03	8.848E+00	3.388E+00	-8.604E-02	3.129E+00	-7.732E-01	2.191E+00	-3.834E-03	1.617E+02	7.608E+01	1.809E+02	1.773E+03
32.05	6.584E+00	1.575E+03	8.846E+00	3.406E+00	-1.093E-01	3.031E+00	-7.624E-01	2.238E+00	1.112E-02	1.600E+02	6.883E+01	1.767E+02	1.765E+03
32.10	6.357E+00	1.572E+03	8.846E+00	3.432E+00	-1.352E-01	2.937E+00	-7.498E-01	2.298E+00	2.438E-02	1.561E+02	6.230E+01	1.731E+02	1.767E+03
32.15	6.295E+00	1.569E+03	8.845E+00	3.464E+00	-1.629E-01	2.858E+00	-7.370E-01	2.368E+00	3.607E-02	1.518E+02	5.411E+01	1.687E+02	1.780E+03
32.20	6.252E+00	1.566E+03	8.845E+00	3.501E+00	-1.916E-01	2.800E+00	-7.254E-01	2.444E+00	4.696E-02	1.480E+02	4.601E+01	1.645E+02	1.796E+03
32.25	6.187E+00	1.564E+03	8.845E+00	3.536E+00	-2.201E-01	2.767E+00	-7.162E-01	2.517E+00	5.801E-02	1.472E+02	3.848E+01	1.612E+02	1.809E+03
32.30	6.063E+00	1.563E+03	8.847E+00	3.564E+00	-2.467E-01	2.752E+00	-7.092E-01	2.580E+00	7.014E-02	1.479E+02	3.021E+01	1.583E+02	1.819E+03
32.35	6.153E+00	1.562E+03	8.849E+00	3.585E+00	-2.707E-01	2.745E+00	-7.026E-01	2.630E+00	8.364E-02	1.510E+02	2.173E+01	1.562E+02	1.823E+03
32.40	6.313E+00	1.561E+03	8.850E+00	3.599E+00	-2.922E-01	2.736E+00	-6.952E-01	2.667E+00	9.777E-02	1.563E+02	1.442E+01	1.550E+02	1.816E+03
32.45	6.421E+00	1.560E+03	8.852E+00	3.609E+00	-3.115E-01	2.723E+00	-6.869E-01	2.695E+00	1.114E-01	1.621E+02	5.954E+00	1.535E+02	1.804E+03
32.50	6.379E+00	1.560E+03	8.853E+00	3.618E+00	-3.296E-01	2.709E+00	-6.776E-01	2.716E+00	1.241E-01	1.658E+02	-2.445E+00	1.518E+02	1.787E+03
32.55	6.222E+00	1.559E+03	8.854E+00	3.627E+00	-3.473E-01	2.700E+00	-6.677E-01	2.727E+00	1.358E-01	1.671E+02	-9.541E+00	1.506E+02	1.774E+03
32.60	6.335E+00	1.558E+03	8.855E+00	3.635E+00	-3.654E-01	2.701E+00	-6.582E-01	2.728E+00	1.468E-01	1.655E+02	-1.762E+01	1.497E+02	1.770E+03
32.65	6.366E+00	1.557E+03	8.856E+00	3.639E+00	-3.848E-01	2.714E+00	-6.495E-01	2.716E+00	1.573E-01	1.633E+02	-2.584E+01	1.495E+02	1.773E+03
32.70	6.313E+00	1.557E+03	8.857E+00	3.635E+00	-4.061E-01	2.741E+00	-6.418E-01	2.696E+00	1.673E-01	1.624E+02	-3.352E+01	1.503E+02	1.782E+03
32.75	6.257E+00	1.556E+03	8.859E+00	3.627E+00	-4.288E-01	2.780E+00	-6.348E-01	2.671E+00	1.771E-01	1.588E+02	-4.104E+01	1.516E+02	1.797E+03
32.80	6.394E+00	1.556E+03	8.862E+00	3.616E+00	-4.523E-01	2.823E+00	-6.274E-01	2.642E+00	1.869E-01	1.560E+02	-4.899E+01	1.532E+02	1.814E+03
32.85	6.481E+00	1.557E+03	8.866E+00	3.604E+00	-4.754E-01	2.862E+00	-6.180E-01	2.606E+00	1.977E-01	1.561E+02	-5.780E+01	1.548E+02	1.830E+03
32.90	6.490E+00	1.558E+03	8.869E+00	3.591E+00	-4.976E-01	2.888E+00	-6.055E-01	2.563E+00	2.101E-01	1.546E+02	-6.597E+01	1.568E+02	1.839E+03
32.95	6.554E+00	1.559E+03	8.872E+00	3.581E+00	-5.190E-01	2.901E+00	-5.902E-01	2.511E+00	2.237E-01	1.546E+02	-7.424E+01	1.588E+02	1.834E+03
33.00	6.574E+00	1.561E+03	8.873E+00	3.577E+00	-5.400E-01	2.906E+00	-5.729E-01	2.453E+00	2.376E-01	1.566E+02	-8.276E+01	1.612E+02	1.814E+03
33.05	6.591E+00	1.562E+03	8.875E+00	3.582E+00	-5.609E-01	2.905E+00	-5.542E-01	2.398E+00	2.506E-01	1.573E+02	-9.059E+01	1.642E+02	1.788E+03
33.10	6.567E+00	1.563E+03	8.874E+00	3.598E+00	-5.815E-01	2.896E+00	-5.343E-01	2.349E+00	2.613E-01	1.570E+02	-9.797E+01	1.675E+02	1.760E+03
33.15	6.448E+00	1.563E+03	8.872E+00	3.620E+00	-6.020E-01	2.876E+00	-5.135E-01	2.311E+00	2.682E-01	1.558E+02	-1.047E+02	1.710E+02	1.736E+03
33.20	6.630E+00	1.562E+03	8.869E+00	3.647E+00	-6.222E-01	2.839E+00	-4.917E-01	2.281E+00	2.708E-01	1.574E+02	-1.123E+02	1.747E+02	1.720E+03
33.25	6.817E+00	1.561E+03	8.867E+00	3.671E+00	-6.411E-01	2.784E+00	-4.682E-01	2.258E+00	2.694E-01	1.563E+02	-1.190E+02	1.788E+02	1.718E+03
33.30	6.761E+00	1.560E+03	8.864E+00	3.687E+00	-6.582E-01	2.715E+00	-4.426E-01	2.239E+00	2.642E-01	1.551E+02	-1.249E+02	1.822E+02	1.732E+03
33.35	6.819E+00	1.559E+03	8.862E+00	3.685E+00	-6.729E-01	2.631E+00	-4.157E-01	2.228E+00	2.552E-01	1.584E+02	-1.319E+02	1.862E+02	1.756E+03
33.40	6.809E+00	1.558E+03	8.861E+00	3.660E+00	-6.848E-01	2.534E+00	-3.874E-01	2.229E+00	2.427E-01	1.615E+02	-1.380E+02	1.920E+02	1.782E+03
33.45	6.790E+00	1.558E+03	8.861E+00	3.619E+00	-6.938E-01	2.431E+00	-3.573E-01	2.247E+00	2.270E-01	1.640E+02	-1.424E+02	1.965E+02	1.802E+03
33.50	6.639E+00	1.558E+03	8.861E+00	3.569E+00	-7.009E-01	2.335E+00	-3.270E-01	2.289E+00	2.091E-01	1.685E+02	-1.477E+02	2.021E+02	1.813E+03
