TwrFADmp(1)	3.435					
TwrFADmp(2)	3.435					
TwrSSDmp(1)	3.435					
TwrSSDmp(2)	3.435					
TwrSchedFields	HtFract	TMassDen	TwFAStif	TwSSStif	TwGJStif	TwEAStif
	0.0000000	2549.996791	2.48017961E+11	2.48017961E+11	1.90783047E+11	6.18743534E+10
	0.1111111	2285.894083	1.96124484E+11	1.96124484E+11	1.50864988E+11	5.54660378E+10
	0.2222222	2035.913391	1.52799439E+11	1.52799439E+11	1.17538030E+11	4.94003856E+10
	0.3333333	1800.054715	1.17048610E+11	1.17048610E+11	9.00373923E+10	4.36773968E+10
	0.4444444	1578.318056	8.79386737E+10	8.79386737E+10	6.76451336E+10	3.82970714E+10
	0.5555556	1370.703413	6.45972035E+10	6.45972035E+10	4.96901566E+10	3.32594095E+10
	0.6666667	1177.210786	4.62126672E+10	4.62126672E+10	3.55482055E+10	2.85644110E+10
	0.7777778	997.8401764	3.20344273E+10	3.20344273E+10	2.46418671E+10	2.42120759E+10
	0.8888889	832.5915826	2.13727412E+10	2.13727412E+10	1.64405701E+10	2.02024042E+10
	1.0000000	681.4650052	1.35987613E+10	1.35987613E+10	1.04605856E+10	1.65353959E+10
