TipRad	35							
HubRad	0							
BldDmp	0	0	0.000					
DistBldProps	BlFract	AeroCent	StrcTwst	BMassDen	FlpStff	EdgStff	GJStff	EAStff
	0.0000000	0.2500000	11.1000000	1447.6067650	7.68146E+09	7.68146E+09	2.65523E+09	1.71527E+10
	0.0210526	0.2500000	11.1000000	175.0952675	1.13589E+09	1.13589E+09	3.96923E+08	2.56410E+09
	0.0526316	0.2294240	11.1000000	177.0636888	9.91869E+08	1.06380E+09	3.33910E+08	2.54393E+09
	0.1052632	0.2011800	11.1000000	180.3443908	7.51834E+08	9.43643E+08	2.28887E+08	2.51031E+09
	0.1578947	0.1785453	11.1000000	183.6250929	5.11798E+08	8.23488E+08	1.23865E+08	2.47669E+09
	0.2105263	0.1600000	11.1000000	186.9057949	2.71763E+08	7.03333E+08	1.88428E+07	2.44306E+09
	0.2631579	0.1648253	9.5000000	177.1492287	2.32457E+08	6.13841E+08	1.67697E+07	2.31636E+09
	0.3157895	0.1701473	7.9000000	167.3926624	1.93152E+08	5.24348E+08	1.46966E+07	2.18966E+09
	0.3684211	0.1760467	6.3000000	157.6360961	1.53846E+08	4.34855E+08	1.26235E+07	2.06296E+09
	0.4210526	0.1826231	4.7000000	147.8795298	1.14540E+08	3.45363E+08	1.05504E+07	1.93626E+09
	0.4736842	0.1900000	3.1000000	138.1229636	7.52348E+07	2.55870E+08	8.47735E+06	1.80955E+09
	0.5263158	0.1944453	2.6000000	122.8959919	6.24947E+07	2.17866E+08	7.11749E+06	1.60531E+09
	0.5789474	0.1995064	2.1000000	107.6690203	4.97547E+07	1.79862E+08	5.75762E+06	1.40106E+09
	0.6315789	0.2053209	1.6000000	92.4420487	3.70146E+07	1.41857E+08	4.39776E+06	1.19681E+09
	0.6842105	0.2120703	1.1000000	77.2150771	2.42745E+07	1.03853E+08	3.03790E+06	9.92561E+08
	0.7368421	0.2200000	0.6000000	61.9881055	1.15344E+07	6.58488E+07	1.67804E+06	7.88313E+08
	0.7894737	0.2239500	0.4800000	51.8610625	9.27381E+06	5.42539E+07	1.37832E+06	6.54345E+08
	0.8421053	0.2286378	0.3600000	41.7340195	7.01318E+06	4.26589E+07	1.07860E+06	5.20376E+08
	0.8947368	0.2342915	0.2400000	31.6069766	4.75255E+06	3.10640E+07	7.78877E+05	3.86408E+08
	0.9473684	0.2412437	0.1200000	21.4799336	2.49192E+06	1.94690E+07	4.79155E+05	2.52440E+08
	1.0000000	0.2500000	0.0000000	11.3528907	2.31293E+05	7.87407E+06	1.79433E+05	1.18472E+08
