99									
4.95									
cylinder	s818_2702.dat	s825_2102.dat	s826_1602.dat						
0.03	0.03	0.03							
Station	Unit Weight	Twist	GJ	EA	EIEdge	EIFlap	Chord	Gen. Axis Loc.	Airfoil ID
0.05	2514.27	11.10	8966505090.01	28944438488.48	25915847780.82	25915847780.82	2.67	0.25	1.00
0.07	378.46	11.10	1745703465.46	5635228554.62	4995749732.64	4995749732.64	2.67	0.25	1.00
0.25	405.46	11.10	63313292.73	5337777876.78	3906180885.05	1456208344.92	3.96	0.34	2.00
0.50	319.62	3.10	25481782.40	4226064069.12	988006806.06	362359217.52	3.04	0.31	0.00
0.75	139.36	0.60	5108455.37	1782574562.63	242833001.70	55876712.04	2.11	0.28	3.00
1.00	16.68	0.00	543766.86	175855044.44	23689722.91	691951.30	1.28	0.25	4.00
