BlFract,AeroCent,StrcTwst,BMassDen,FlpStff,EdgStff,GJStff,EAStff,NFoil,Chord
0,0.25,11.1,1181.947402,2362406058,2362406058,815590611.7,10326627047,1,1.349657099
0.021052632,0.25,11.1,89.21530546,292871613.7,292871613.7,102340393,1295783622,1,1.349657099
0.052631579,0.22942454,11.1,93.88083067,255926413.5,276174377.7,86293632.7,1335788009,1,1.458047583
0.105263158,0.201180766,11.1,101.656706,194351080,248345651.2,59549032.22,1402461989,2,1.638698389
0.157894737,0.178545878,11.1,109.4325814,132775746.4,220516924.6,32804431.74,1469135968,2,1.819349194
0.210526316,0.16,11.1,117.2084568,71200412.89,192688198.1,6059831.26,1535809948,2,2
0.263157895,0.164825354,9.5,110.3578793,61417696.52,169973932.2,5425015.454,1447589040,2,1.906680213
0.315789474,0.170147355,7.9,103.5073018,51634980.16,147259666.4,4790199.648,1359368132,2,1.813360427
0.368421053,0.176046841,6.3,96.65672432,41852263.79,124545400.5,4155383.842,1271147225,2,1.72004064
0.421052632,0.182623197,4.7,89.80614684,32069547.43,101831134.6,3520568.035,1182926317,2,1.626720853
0.473684211,0.19,3.1,82.95556936,22286831.06,79116868.75,2885752.229,1094705410,2,1.533401067
0.526315789,0.194445659,2.6,74.1903779,18539309.24,67558106.97,2423588.392,975582982.3,3,1.44013208
0.578947368,0.199507034,2.1,65.42518644,14791787.42,55999345.19,1961424.556,856460555,3,1.346863094
0.631578947,0.205321554,1.6,56.65999499,11044265.59,44440583.41,1499260.719,737338127.8,3,1.253594107
0.684210526,0.212070838,1.1,47.89480353,7296743.77,32881821.63,1037096.882,618215700.5,3,1.160325121
0.736842105,0.22,0.6,39.12961207,3549221.948,21323059.85,574933.0456,499093273.2,3,1.067056134
0.789473684,0.223949979,0.48,32.85396892,2855339.878,17598898.04,472175.7094,415421497.2,3,0.983083566
0.842105263,0.228637776,0.36,26.57832576,2161457.808,13874736.24,369418.3731,331749721.1,3,0.899110998
0.894736842,0.234291412,0.24,20.30268261,1467575.738,10150574.43,266661.0369,248077945.1,4,0.81513843
0.947368421,0.24124366,0.12,14.02703945,773693.6688,6426412.626,163903.7006,164406169.1,4,0.731165862
1,0.25,0,7.751396294,79811.59909,2702250.82,61146.3644,80734393.08,4,0.647193294
