BlFract,AeroCent,StrcTwst,BMassDen,FlpStff,EdgStff,GJStff,EAStff,NFoil,Chord
0,0.25,11.1,2514.272879,25915847781,25915847781,8966505090,28944438488,1,2.672979426
0.021052632,0.25,11.1,378.4647644,4995749733,4995749733,1745703465,5635228555,1,2.672979426
0.052631579,0.229427961,11.1,382.964776,4405826168,4814154925,1465305103,5585653442,1,2.887503175
0.105263158,0.201185581,11.1,390.4647954,3422620227,4511496911,997974499.8,5503028253,2,3.245042757
0.157894737,0.178549052,11.1,397.9648147,2439414286,4208838898,530643896.3,5420403065,2,3.602582338
0.210526316,0.16,11.1,405.4648341,1456208345,3906180885,63313292.73,5337777877,2,3.96012192
0.263157895,0.16482548,9.5,388.2953023,1237438519,3322546069,55746990.67,5115435115,2,3.775361951
0.315789474,0.170147564,7.9,371.1257704,1018668694,2738911253,48180688.6,4893092354,2,3.590601981
0.368421053,0.176047074,6.3,353.9562386,799898868.5,2155276438,40614386.53,4670749592,2,3.405842012
0.421052632,0.18262337,4.7,336.7867067,581129043,1571641622,33048084.46,4448406831,2,3.221082042
0.473684211,0.19,3.1,319.6171749,362359217.5,988006806.1,25481782.4,4226064069,2,3.036322073
0.526315789,0.194444979,2.6,283.5655632,301062716.4,838972045.2,21407116.99,3737366168,3,2.851562103
0.578947368,0.199505867,2.1,247.5139515,239766215.3,689937284.3,17332451.58,3248668267,3,2.666802134
0.631578947,0.205320207,1.6,211.4623398,178469714.2,540902523.4,13257786.18,2759970365,3,2.482042164
0.684210526,0.212069789,1.1,175.4107281,117173213.1,391867762.6,9183120.772,2271272464,3,2.297282195
0.736842105,0.22,0.6,139.3591164,55876712.04,242833001.7,5108455.366,1782574563,3,2.112522225
0.789473684,0.223949676,0.48,114.8236118,44839759.89,199004345.9,4195517.664,1461230659,3,1.946253493
0.842105263,0.228637233,0.36,90.28810717,33802807.74,155175690.2,3282579.963,1139886755,3,1.77998476
0.894736842,0.234290751,0.24,65.75260254,22765855.59,111347034.4,2369642.261,818542851.7,4,1.613716027
0.947368421,0.241243112,0.12,41.2170979,11728903.45,67518378.67,1456704.559,497198948.1,4,1.447447295
1,0.25,0,16.68159327,691951.3006,23689722.91,543766.8572,175855044.4,4,1.281178562
